current_filename,current_label_in_paper,current_section_first_mentioned,new_number,new_filename,caption_as_currently_written,label_assumption
fig_erd_conceptual.png,Figure 4.1,4.1,1,fig_01_erd_conceptual.png,"Conceptual entity-relationship diagram: PLACE and TIME_PERIOD as shared context for the three observation entities (JOURNEY, PRICE_OBSERVATION, WEATHER_OBSERVATION).",
fig_erd_star_schema_dimensions.png,Figure 4.2 (dimensions),4.2,2,fig_02_erd_star_schema_dimensions.png,"Star schema, part 1 of 2: the eight conformed dimension tables with their attributes and keys. Continues in fig_erd_star_schema_facts.png.",
fig_erd_star_schema_facts.png,Figure 4.2 (facts),4.2,3,fig_03_erd_star_schema_facts.png,"Star schema, part 2 of 2: the five fact tables and their join relationships to the conformed dimensions in fig_erd_star_schema_dimensions.png.",
fig_architecture_ingestion.png,Figure 4.4 (ingestion),4.4,4,fig_04_architecture_ingestion.png,"Medallion pipeline, part 1 of 2: external sources through the silver layer (four extraction patterns, raw landing, bronze, and cleansed/conformed silver). Continues in fig_architecture_serving.png.",
fig_architecture_serving.png,Figure 4.4 (serving),4.4,5,fig_05_architecture_serving.png,"Medallion pipeline, part 2 of 2: silver through the gold dimensional model, both quality gates, and outputs/docs. Continues from fig_architecture_ingestion.png.",
fig_cloud_architecture.png,Figure 4.5,4.5,6,fig_06_cloud_architecture.png,"Reference cloud architecture: the local pipeline's components mapped to managed GCP services (Cloud Composer, Cloud Run, BigQuery, Dataplex).",
A1_demand_profile_heatmap.png,Figure A1a,6.2,7,fig_07_a1a_demand_profile_heatmap.png,"Trip volume by hour and weekday per NYC borough, normalised within each borough.",
A1_demand_profile_lines.png,Figure A1b,6.2,8,fig_08_a1b_demand_profile_lines.png,"Diurnal demand profile by borough, weekday versus weekend.",
A2_od_corridors.png,Figure A2,6.2,9,fig_09_a2_od_corridors.png,"Top 25 directed origin-destination zone pairs by trip volume, with mean and median fare.",
A3_congestion_proxy.png,Figure A3,6.2,10,fig_10_a3_congestion_proxy.png,"Mean journey speed by pickup hour and borough -- a congestion proxy, not a direct measurement.",
A5_revenue_concentration.png,Figure A5,6.2,11,fig_11_a5_revenue_concentration.png,Pareto curve: cumulative share of total revenue by ranked pickup zone.,
A4_tipping_behaviour.png,Figure A4,6.2,12,fig_12_a4_tipping_behaviour.png,"Tip as a percentage of fare by distance band and borough; credit-card trips only, since cash tips are not recorded by the meter.",
A11_missingness_structure.png,Figure A11,6.2,13,fig_13_a11_missingness_structure.png,Structural co-missingness of four TLC fields (exactly two of 16 possible patterns occur) and block failure rate by vendor over time.,
A6_food_price_index.png,Figure A6,6.3,14,fig_14_a6_food_price_index.png,"Chained matched-model (Jevons) food price index by category versus the naive unweighted mean, January 2016 = 100.",
A8_price_dispersion.png,Figure A8,6.3,15,fig_15_a8_price_dispersion.png,"Cross-market price dispersion (coefficient of variation) for staple commodities, by geopolitical zone over time.",
A12_petrol_price_national.png,Figure A12a,6.3,16,fig_16_a12a_petrol_price_national.png,"National mean petrol price trajectory, cross-state dispersion (CV) and the share of that dispersion explained by geopolitical zone, Nov 2023-May 2026.",
A12_petrol_price_state_premiums.png,Figure A12b,6.3,17,fig_17_a12b_petrol_price_state_premiums.png,"Persistent state premiums and discounts relative to the national mean petrol price, coloured by geopolitical zone.",
A12_petrol_price_rank_stability.png,Figure A12c,6.3,18,fig_18_a12c_petrol_price_rank_stability.png,"Monthly rank of each state by petrol price, and the Spearman stability of that ranking against the previous and first month.",
A12_petrol_price_zones.png,Figure A12d,6.3,19,fig_19_a12d_petrol_price_zones.png,"The six geopolitical zones' petrol price premium relative to the national mean, over time and averaged over the period.",
A7_subsidy_structural_break.png,Figure A7,6.4,20,fig_20_a7_subsidy_structural_break.png,"Within-market staple food price index for a fixed panel of 10 north-eastern markets, four months either side of the 29 May 2023 subsidy removal. Not a national comparison.",
A9_fuel_food_passthrough.png,Figure A9,6.4,21,fig_21_a9_fuel_food_passthrough.png,"Correlation between state petrol price changes and staple food price changes by lag, resting on 3 conflict-affected north-eastern states only. Every correlation is under +/-0.09 and supports no inference.",
A10_grain_comparison.png,Figure A10,6.5,22,fig_22_a10_grain_comparison.png,"Row count, on-disk footprint and national-aggregate query latency across the platform's fact tables, by grain.",
fig_model_ladder_nigeria.png,Figure 6.1,6.7.1,23,fig_23_ladder_nigeria.png,"Nigerian petrol price, one month ahead: mean absolute error (NGN/litre) by ladder rung, for the original (300 trees) and capacity-controlled (12 trees) configurations. Points are the mean of 20 seeds (LightGBM random_state 1-20); error bars are one standard deviation across seeds. Task A does no sampling, so the spread is model randomness only. Dashed line: random walk (REF_heuristic, MAE 129.30); dotted line: training mean (REF_mean, MAE 327.34); both fit no model. V3a (hollow markers) is computed with future months present and is shown only for comparison with V3b. Paired comparisons with intervals are in paired_comparisons_ng_v2.csv.",
fig_model_ladder_nyc.png,Figure 6.2,6.7.2,24,fig_24_ladder_nyc.png,"NYC trip duration, pickup-time features: mean absolute error (seconds) by ladder rung, for the original (300 trees) and capacity-controlled (182 trees) configurations. Points are the mean of 5 seeds (each seed draws its own content-addressed bucket of about 1.96 million training and 421,000 test trips and uses its own random_state); error bars are one standard deviation across seeds. *V0 is plotted at its MAE restricted to exactly the trips in the gated test set (336.63 s original, 336.34 s capacity-controlled). Scored on its own, ungated test set, V0's MAE is 337.64 s and 337.32 s. V1 onward, and the reference predictors, are scored on the gated test set. Dashed line: distance over average speed (REF_heuristic, MAE 548.61 s); dotted line: training mean (REF_mean, MAE 646.96 s); both fit no model. The y-axis is broken and does not start at zero: the reference lines lie far above every rung. V3a (hollow markers) is computed with future months present and is shown only for comparison with V3b.",
fig_ladder_comparison.png,Figure 6.3,6.10,25,fig_25_ladder_comparison.png,"Both ladders on one axis, and which steps survived five repeats. Bars are the mean of 5 repeats, shown as % change in MAPE against each task's own V0, so two incomparable error scales (naira/litre, seconds) sit on one axis. Markers report whether the step from the previous rung into this one held its direction across ALL five repeats, taken within seed: a difference that flipped sign (cross) is not an established effect however large its bar looks. Bars and markers both show each task's ORIGINAL hyperparameter variant only, so NYC's single inconsistent comparison, which occurs under the capacity-controlled variant (V4b to V5, 4/5), is not visible here; the full set for both variants is in ladder_paired_comparisons.csv. The same fixed model and hyperparameters are used at every rung of a given ladder; only the input features change. V3a is computed with future months present and is shown only for contrast with V3b.",
fig_extrapolation_ceiling.png (new),(not previously in the paper),(new),26,fig_26_extrapolation_ceiling.png,"Nigeria: national mean petrol price by month, actual versus the V0 predictions and the random walk. Each point is the unweighted mean over the 37 states' test rows for one target month. The two V0 series are the mean of 20 seeds (LightGBM random_state 1-20) for the original configuration (300 trees) and the capacity-controlled configuration (12 trees). The random walk predicts each state's next-month price as its current-month price. outputs/paper/extrapolation_ceiling.csv carries the underlying series.","additional figure introduced by this repair pass (Task 7), not a renumbering of an existing one."
fig_v0_response_curve.png (new),(not previously in the paper),(new),27,fig_27_v0_response_curve.png,"Fitted V0 response curve (next-month price as a function of current-month price) for the original and capacity-controlled configurations. Each curve is one model (V0, seed 1) whose test errors were verified to reproduce the saved seed-1 errors exactly. The dotted line is the random walk. The rug marks the training values of price_ngn; the dashed vertical line is the highest of them (NGN 1,730.00). Points are the 185 test observations. Original curve: exactly flat above price_ngn 1,480.56, at NGN 1,441.07; 70 of 185 actual test values exceed that level. Capacity-controlled curve: flat above 1,613.42, at NGN 1,360.08; 79 of 185 exceed it. 0 test observations have a current price above the highest training price.","additional figure introduced by a follow-up analysis, not a renumbering of an existing one."
